,Year,Laureate_Id_x,Firstname_x,Lastname_x,Category,Prize_Share,Motivation,Name_key,Laureate_Id_y,Firstname_y,Lastname_y,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
84,1915,176,Richard,Willstätter,chemistry,1,"""for his researches on plant pigments especially chlorophyll""",Richard Willstätter,176,Richard,Willstätter,male,1872-08-13,Germany,Karlsruhe,DE,03/08/1942,Switzerland,Locarno,CH,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany
85,1915,584,Romain,Rolland,literature,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",Romain Rolland,584,Romain,Rolland,male,1866-01-29,France,Clamecy,FR,30/12/1944,France,Vézelay,FR,,,
86,1916,585,Verner,von Heidenstam,literature,1,"""in recognition of his significance as the leading representative of a new era in our literature""",Verner von Heidenstam,585,Verner,von Heidenstam,male,1859-07-06,Sweden,Olshammar,SE,20/05/1940,Sweden,Övralid,SE,,,
87,1917,482,International Committee of the Red Cross,,peace,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",,467,Institute of International Law,,org,1873-00-00,,,,0000-00-00,,,,,,
88,1917,22,Charles Glover,Barkla,physics,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",Charles Glover Barkla,22,Charles Glover,Barkla,male,1877-06-07,United Kingdom,Widnes,GB,23/10/1944,Scotland,Edinburgh,GB,Edinburgh University,Edinburgh,United Kingdom
89,1917,586,Karl,Gjellerup,literature,2,"""for his varied and rich poetry which is inspired by lofty ideals""",Karl Gjellerup,586,Karl,Gjellerup,male,1857-06-02,Denmark,Roholte,DK,11/10/1919,Germany,Klotzsche,DE,,,
90,1917,587,Henrik,Pontoppidan,literature,2,"""for his authentic descriptions of present-day life in Denmark""",Henrik Pontoppidan,587,Henrik,Pontoppidan,male,1857-07-24,Denmark,Fredericia,DK,21/08/1943,Denmark,Ordrup,DK,,,
91,1918,23,Max,Planck,physics,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",Max Planck,23,Max,Planck,male,1858-04-23,Schleswig (now Germany),Kiel,DE,04/10/1947,West Germany (now Germany),Göttingen,DE,Berlin University,Berlin,Germany
92,1918,177,Fritz,Haber,chemistry,1,"""for the synthesis of ammonia from its elements""",Fritz Haber,177,Fritz,Haber,male,1868-12-09,Prussia (now Poland),Breslau (now Wroclaw),PL,29/01/1934,Switzerland,Basel,CH,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany
93,1919,483,Woodrow,Wilson,peace,1,"""for his role as founder of the League of Nations""",Woodrow Wilson,483,Woodrow,Wilson,male,1856-12-28,USA,Staunton VA,US,03/02/1924,USA,Washington D.C.,US,,,
